Nome,Data de Nascimento,CPF,Profissões
Ana Sophia Araújo,18/12/2004,438.150.926-98,"[marceneiro, carpinteiro, eletricista]"
Antônio Carvalho,19/05/1969,380.416.975-93,[engenheiro civil]
Emilly Almeida,20/02/2006,265.917.803-86,[marceneiro]
Ana Luiza Moraes,28/11/1977,940.538.716-20,"[arquiteto, marceneiro, pedreiro]"
Evelyn Moreira,16/10/1993,310.582.794-32,[carpinteiro]
Emilly Ramos,05/10/1997,529.816.043-33,[engenheiro civil]
Sabrina Farias,15/08/1965,764.589.123-82,[arquiteto]
Enzo Azevedo,20/12/1975,641.782.953-73,"[carpinteiro, arquiteto, engenheiro civil]"
Melissa Ramos,23/03/1964,423.596.871-82,"[arquiteto, pedreiro, engenheiro civil]"
Juliana Moreira,05/06/1969,287.065.194-58,"[encanador, eletricista]"
Lara Campos,07/09/1980,674.805.231-90,[assistente administrativo]
Gustavo Pinto,07/04/1965,704.916.825-49,"[pedreiro, pintor, eletricista]"
Lívia da Paz,25/11/1964,520.483.761-26,[engenheiro civil]
Erick Caldeira,22/11/1970,918.530.746-75,"[marceneiro, encanador]"
Bárbara Ferreira,30/05/1990,963.451.287-91,"[marceneiro, pintor]"
Manuela Porto,26/09/1962,391.204.765-07,"[encanador, eletricista]"
Breno Caldeira,30/01/1970,105.849.237-32,[técnico em segurança do trabalho]
Marcelo Costela,23/09/2003,973.685.102-86,"[marceneiro, pedreiro, encanador]"
Larissa Moraes,30/04/1983,670.598.412-02,"[eletricista, pintor, engenheiro civil]"
Felipe da Mota,12/06/1967,872.319.604-13,"[marceneiro, carpinteiro, engenheiro civil]"
Maria Clara Castro,11/12/1957,801.675.342-62,"[marceneiro, engenheiro civil]"
João Caldeira,15/09/1965,609.237.541-99,[pedreiro]
Diogo Gonçalves,25/04/1969,089.527.461-20,"[técnico em segurança do trabalho, pintor]"
Marcela da Cruz,16/05/1958,812.046.935-60,[pintor]
Elisa Barbosa,25/08/1996,165.298.734-73,"[engenheiro civil, eletricista]"
Raul Jesus,13/08/1985,510.349.762-06,"[marceneiro, assistente administrativo, engenheiro civil]"
Emanuella Costela,02/04/1978,135.298.640-05,[técnico em segurança do trabalho]
Maria Clara Jesus,24/08/1999,124.067.938-69,"[eletricista, arquiteto]"
Cecília Mendes,10/05/1968,487.205.319-23,[pintor]
Isaac Costela,09/11/1997,427.953.068-83,[engenheiro civil]
Srta. Maria Cecília Azevedo,17/08/1979,982.310.754-88,[pintor]
Sr. Rodrigo Farias,20/11/1999,156.489.702-85,"[eletricista, marceneiro]"
Alice da Luz,16/08/2004,563.210.749-34,[encanador]
Eduardo Ramos,18/04/1978,438.051.792-60,"[pintor, engenheiro civil, técnico em segurança do trabalho]"
Vitor Freitas,25/05/1978,865.092.143-42,"[técnico em segurança do trabalho, assistente administrativo]"
Calebe Pinto,10/01/1978,561.347.209-25,"[assistente administrativo, engenheiro civil]"
Luiz Henrique Teixeira,29/03/2001,356.082.497-47,"[arquiteto, encanador, eletricista]"
Sra. Lívia Lima,19/11/1999,659.824.103-06,"[encanador, pedreiro, arquiteto]"
Isis da Luz,21/05/1996,946.802.751-11,"[engenheiro civil, assistente administrativo]"
Maria Martins,22/02/1986,793.481.062-87,"[técnico em segurança do trabalho, marceneiro, carpinteiro]"
Vitor Gabriel Duarte,14/04/2000,438.105.679-57,[assistente administrativo]
Kamilly da Mota,21/05/2003,679.180.453-00,"[assistente administrativo, pedreiro, marceneiro]"
Samuel Silveira,11/02/1986,083.697.142-69,"[pedreiro, técnico em segurança do trabalho]"
Mariana Santos,17/07/1983,872.536.901-68,"[eletricista, arquiteto, carpinteiro]"
Luiza Duarte,10/03/1973,714.825.930-41,"[marceneiro, arquiteto, eletricista]"
Davi Lucas Dias,26/07/1980,231.869.570-95,"[pintor, marceneiro, eletricista]"
Kaique Nogueira,20/11/2006,906.382.417-31,"[assistente administrativo, técnico em segurança do trabalho]"
Sofia Viana,21/07/1995,379.285.016-86,[eletricista]
Nicole Nunes,13/10/2003,279.460.385-00,"[assistente administrativo, arquiteto, marceneiro]"
Pedro Pereira,26/09/1963,720.836.154-17,"[eletricista, arquiteto, engenheiro civil]"
Dr. Guilherme Peixoto,02/09/1971,170.548.263-53,[pintor]
Amanda Araújo,01/05/1971,302.169.874-31,[arquiteto]
